Covidence #,Study ID,Title,Reviewer Name,Year of publication,Author contact,Country in which the study conducted,Notes,Level of Evidence,Aims,Nail focus,Study design,Approach 1,Approach 2,Approach 3,Locking description,Fracture description/location,Open/closed fracture description,Reamed description,Post-op weight bearing regime description,Nail removal,Mechanism of injury description,Total number of participants,Inclusion criteria,Exclusion criteria,Outcomes used,Method of outcome,Participants:,Total Male,Total Female,Total Total,Approach1 Male,Approach1 Female,Approach1 Total,Approach2 Male,Approach2 Female,Approach2 Total,Approach3 Male,Approach3 Female,Approach3 Total,Age mean Male,Age mean Female,Age mean Total,Age SD Male,Age SD Female,Age SD Total,Other Male,Other Female,Other Total,Follow up times:,Follow up time(s) time1,Follow up time(s) time2,Follow up time(s) time3,Follow up time(s) time4,Key findings,Limitations
1710,Gao 2022,Intramedullary Nail Fixation by Suprapatellar and Infrapatellar Approaches for Treatment of Distal Tibial Fractures,Consensus,2022,,Other: China,,III,,IPN vs SPN,Retrospective cohort study,SPN midline,IPN medial parapatellar,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,132,,,"Lysholm; VAS; Surgery time; Other: Union, Complications, Incision healing, American Orthopaedic Foot and Ankle Society scale, Alignment, Number of fluoroscopy procedures, Use of blocking screws, Skin incised for open reduction, Fracture end haematoma, Superficial infection of infrapatellar incision, Hardware failure",,,,,,,,69,,,63,,,,,,,,,,,,,,6,12,,,,
1706,Llano 2022,Comparison between functionality and quality of reduction between suprapatellar vs infrapatellar approaches in the treatment of diaphyseal and distal tibial fractures,Consensus,2022,,Other: Argentina,,III,,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN unspecified,NA,No,Yes,No,No,No,No,No,80,,,Lysholm; Surgery time; Radiation dose; Alignment; Other: VAS (ND),,,,,,,,44,,,36,,,,,,,,,,,,,,1,12,,,,
1703,Patel 2022,A Review of Proximal Tibia Entry Points for Intramedullary Nailing and Validation of The Lateral Parapatellar Approach as Extra-articular,Consensus,2022,,United States,,Other: NA,,Other: SE,Cadaveric,Other: Semi-extended lateral parapatellar (EA),NA,NA,NA,NA,NA,Yes,NA,Other: No,NA,6,,,Nail insertion location; Other: Joint capsule damage,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
1698,Umur 2022,Dilemma of Supra- or Infrapatellar Tibial Nailing: Anterior Knee Pain vs. Intra-Articular Damage,Consensus,2022,,Other: Turkey,,III,,IPN vs SPN,Retrospective cohort study,SPN midline,IPN medial parapatellar,NA,Yes,Yes,Yes,No,Yes,No,No,61,,,"Binary yes/no; Lysholm; SF-36; Surgery time; ROM; Other: Patellofemoral joint damage (MRI), Union, VAS (ND), RUST score, Outerbridge scale",,,,,,,,29,,,32,,,,,,,,,,,,,,6,,,,,
1694,Weninger 2009,Anatomical assessment of the Hoffa fat pad during insertion of a tibial intramedullary nail--comparison of three surgical approaches,Consensus,2009,,Other: Austria,,Other: NA,,IPN,Cadaveric,IPN medial parapatellar,IPN transpatellar,IPN lateral parapatellar,No,NA,NA,No,NA,No,NA,18,,,"Nail insertion location; Other: Fat pad damage, Menisci damage, Anterior cruciate ligament damage, Intermeniscal ligament damage, Articular surface damage",,,,,,,,6,,,6,,,6,,,,,,,,,,,,,,,,
1693,Walker 2011,Ideal Tibial Intramedullary Nail Insertion Point Varies With Tibial Rotation,Consensus,2011,,Other: Canada,,Other: NA,,Other: NA,Cadaveric,Other: NA,NA,NA,No,NA,NA,No,NA,No,NA,12,,,Nail insertion location,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
1692,Vidyadhara 2006,Prospective study of the clinico-radiological outcome of interlocked nailing in proximal third tibial shaft fractures,Consensus,2006,,Other: India,,IV,,Other: SE,Case series,Other: Semi-extended medial parapatellar (IA),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,45,,,"Binary yes/no; Alignment; ROM; Other: Lower Extremity Functional scale, Time to partial weight-bearing, Infection, Chondral damage, Complications, Union, Rotational deformity, Hardware failure, Bone grafting",,,,,,,,45,,,,,,,,,,,,,,,,,1.5,3,6,12,,
1691,Vaseenon 2012,Accurate Entry Point for Tibial Nailing with SIGN Nail in Asians: A Cadaveric Study,Consensus,2012,,Other: Thailand,,Other: NA,,IPN,Cadaveric,IPN transpatellar,NA,NA,Yes,NA,NA,No,NA,Other: No,NA,12,,,Nail insertion location; Other: Articular surface damage,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
1690,Väistö 2007,Anterior knee pain and thigh muscle strength after intramedullary nailing of a tibial shaft fracture: an 8-year follow-up of 28 consecutive cases,Consensus,2007,,Other: Finland,,III,,IPN,Prospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,Yes,No,No,No,Yes,Yes,Other: No,28,,,"Lysholm; Other: Quadriceps strength, Hamstrings strength, VAS - rest (0 - 100), VAS - walking (0 - 100), VAS - running (0 - 100), VAS - squatting (0 - 100), VAS - kneeling (0 - 100), VAS - stair ascent (0 - 100), VAS - stair descent (0 - 100), VAS - long-term sitting (0 - 100), Tegner, Iowa knee score",,,,,,,,14,,,14,,,,,,,,,,,,,,96,,,,,
1689,Väistö 2004,Anterior Knee Pain and Thigh Muscle Strength After Intramedullary Nailing of Tibial Shaft Fractures: A Report of 40 Consecutive Cases,Consensus,2004,,Other: Finland,,III,,IPN,Other: Prospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,Yes,No,No,Yes,Yes,Yes,No,40,,,"Lysholm; Nail insertion location; Other: Hamstrings strength, Quadriceps strength, VAS - rest (0 - 100), VAS - walking (0 - 100), VAS - running (0 - 100), VAS - squatting (0 - 100), VAS - kneeling (0 - 100), VAS - stair ascent (0 - 100), VAS - stair descent (0 - 100), VAS - long-term sitting (0 - 100), Tegner, Iowa knee score, Complications",,,,,,,,20,,,20,,,,,,,,,,,,,,38.4,,,,,
1688,Tyllianakis 2000,Interlocking intramedullary nailing in distal tibial fractures,Consensus,2000,,Other: Greece,,IV,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,No,No,73,,,"Binary yes/no; Alignment; ROM; Other: Union, Shortening, Return to work, Rotational deformity, Hardware failure, Return to sport/exercise, Binary - walking",,,,,,,,73,,,,,,,,,,,,,,,,,34.2,,,,,
1686,Triantafillou 2017,Proper Distal Placement of Tibial Nail Improves Rate of Malalignment for Distal Tibia Fractures,Consensus,2017,,United States,,IV,,IPN vs SPN,Retrospective cohort study,IPN medial parapatellar,SPN unspecified,NA,Yes,Yes,Yes,Yes,No,No,No,85,,,Alignment,,,,,,,,64,,,21,,,,,,,,,,,,,,,,,,,
1685,Tornetta 1997,Compartment pressures during nonreamed tibial nailing without traction,Consensus,1997,,United States,,III,,NR,Prospective cohort study,No description,NA,NA,No,No,No,Yes,Yes,Other: No,Yes,59,,,"Other: Anterior compartment pressure, Compartment syndrome",,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,
1684,Tonk 2014,ANTERIOR KNEE PAIN IN TRANSTENDINOUS AND PARATENDINOUS APPROACHES OF TIBIAL INTERLOCKING NAIL: A COMPARATIVE STUDY,Consensus,2014,,Other: India,,V,,IPN,Randomised controlled trial,IPN transpatellar,IPN medial parapatellar,NA,Yes,Yes,No,Yes,No,No,Yes,56,,,"Binary yes/no; Lysholm; Other: Union, VAS - knee pain (0 - 100)",,,,,,,,28,,,28,,,,,,,,,,,,,,0.5,1.5,3,6,,
1683,Theriault 2012,Functional Impact of Tibial Malrotation Following Intramedullary Nailing of Tibial Shaft Fractures,Consensus,2012,stephane.pelet.ortho@gmail.com,Other: Canada,,II,,Other: IPN,Prospective cohort study,Other: IPN transpatellar,NA,NA,No,No,No,No,No,No,No,70,,,"Other: Rotational deformity, Lower Extremity Functional Scale, Olerud-Molander ankle score, Six-minute walk test",,,,,,,,70,,,,,,,,,,,,,,,,,58,,,,,
1682,Soraganvi 2016,Anterior Knee Pain after Tibial Intra-medullary Nailing: Is it Predictable?,Consensus,2016,,Other: India,,IV,,IPN,Retrospective cohort study,IPN transpatellar,NA,NA,Yes,No,No,No,No,No,No,103,,,Binary yes/no; Nail insertion location; Other: Nail prominence,,,,,,,,103,,,,,,,,,,,,,,,,,24,30,,,,
1681,Song 2012,Anterior knee pain after tibial intramedullary nailing using a medial paratendinous approach,Consensus,2012,,Other: Republic of Korea,,IV,,IPN,Retrospective cohort study,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,45,,,"Other: Nail prominence, VAS - rest (0 - 100), VAS - kneeling (0 - 100), VAS - squatting (0 - 100), VAS - long-term sitting (0 - 100), VAS - stair ascent (0 - 100), VAS - stair descent (0 - 100), Tegner, Modified Lysholm, Complications",,,,,,,,45,,,,,,,,,,,,,,,,,22.3,,,,,
1680,Schemitsch 2012,Prognostic factors for predicting outcomes after intramedullary nailing of the tibia,Consensus,2012,schemitsche@smh.ca,Other: Canada,,II,,NR,Randomised controlled trial,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,1226,,,"Other: Hardware exchange, Hardware removal, Infection, Bone grafting, Complications",,,,,,,,1226,,,,,,,,,,,,,,,,,12,,,,,
1679,Say 2014,Findings related to rotational malalignment in tibial fractures treated with reamed intramedullary nailing,Consensus,2014,ferhatsay@gmail.com,Other: Turkey,,IV,,NR,Retrospective cohort study,No description,NA,NA,No,Yes,Yes,Yes,Yes,No,No,26,,,"Other: Rotational deformity, Thigh-foot angle",,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,
1678,Samuelson 2002,Anatomic assessment of the proper insertion site for a tibial intramedullary nail,Consensus,2002,,United States,,Other: NA,,Other: NA,Cadaveric,Other: NA,NA,Other: ,NA,NA,NA,No,NA,Other: No,NA,57,,,Nail insertion location,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,
1677,Ryan 2011,Knee Pain Correlates With Union After Tibial Nailing,Consensus,2011,,United States,,III,,IPN,Retrospective cohort study,IPN medial parapatellar,NA,NA,No,No,Yes,No,Yes,No,Yes,443,,,"Binary yes/no; Other: NRS - knee pain (0 - 3), Hammer classification",,,,,,,,443,,,,,,,,,,,,,,,,,0.5,1.5,4,"6, 9, 12",,
1675,Ricci 2001,Fractures of the proximal third of the tibial shaft treated with intramedullary nails and blocking screws,Consensus,2001,,United States,,IV,,IPN,Prospective cohort study,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,No,No,No,Yes,12,,,"Alignment; Other: Union, Complications",,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
1674,Puloski 2004,Rotational Malalignment of the Tibia Following Reamed Intramedullary Nail Fixation,Consensus,2004,spuloski@shaw.ca,Other: Canada,,III,,NR,Prospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,No,No,No,22,,,Other: Rotational deformity,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,
1673,Orfaly 1995,Knee pain after tibial nailing: Does the entry point matter?,Consensus,1995,,Other: Canada,,IV,,IPN,Retrospective cohort study,IPN medial parapatellar,IPN transpatellar,NA,Yes,No,Yes,Yes,No,Yes,No,110,,,"Binary yes/no; Nail insertion location; Other: Nail prominence, Hardware removal",,,,,,,,65,,,36,,,,,,,,,,,,,,16,,,,,
1672,O'Dwyer 1994,Intramedullary nailing technique and its effect on union rates of tibial shaft fracture,Consensus,1994,,UK,,II,,IPN,Prospective cohort study,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,Yes,No,No,Other: Yes,70,,,"Other: Union, Complications, Infection",,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,
1671,Nyland 2001,Long-term quadriceps femoris functional deficits following intramedullary nailing of isolated tibial fractures,Consensus,2001,,United States,,IV,,IPN,Retrospective cohort study,IPN medial parapatellar,NA,NA,No,No,Yes,No,No,No,Yes,10,,,"Other: NRS - chair rise (1 - 10), NRS - unlevel walking (1 - 10), NRS - level walking (1 - 10), NRS - pivoting (1 - 10), NRS - squatting (1 - 10), NRS - stairs (1 - 10), NRS - catching (1 - 10), NRS - swelling (1 - 10), NRS - buckling (1 - 10), NRS - stiffness (1 - 10), NRS - knee pain (1 - 10), Hamstrings strength, Quadriceps strength",,,,,,,,10,,,,,,,,,,,,,,,,,18,,,,,
1670,Nork 2005,Intramedullary nailing of distal metaphyseal tibial fractures,Consensus,2005,,United States,,IV,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,36,,,"SF-36; Alignment; Other: Musculoskeletal Functional Assessment, Reoperation, Union, Complications",,,,,,,,36,,,,,,,,,,,,,,,,,54,,,,,
1669,Nork 2006,Intramedullary nailing of proximal quarter tibial fractures,Consensus,2006,,Other: Germany,,III,,IPN,Other: Retrospective cohort study,IPN transpatellar,IPN lateral parapatellar,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,37,,,"Alignment; Other: Union, Complications",,,,,,,,28,,,9,,,,,,,,,,,,,,18.9,,,,,
1668,Moreschini 2013,Insertion of distal locking screws of tibial intramedullary nails: A comparison between the free-hand technique and the SURESHOT™ Distal Targeting System,Consensus,2013,Oreste.moreschini@uniroma1.it,Other: Italy,,IV,,NR,Retrospective cohort study,No description,NA,NA,Yes,No,No,No,No,No,No,50,,,Radiation dose; Other: Distal locking time,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,
1667,Moed 1998,Ultrasound for the early diagnosis of tibial fracture healing after static interlocked nailing without reaming: clinical results,Consensus,1998,,United States,,III,,NR,Prospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,,,"Other: Hardware failure, Ultrasound examination of fracture site, Reoperation, Union",,,,,,,,50,,,,,,,,,,,,,,,,,1.5,2.75,,,,
1666,Mir 2013,Biomechanical effects of the nail entry zone and anterior cortical bone loss on the proximal tibia,Consensus,2013,,United States,,Other: NA,,Other: NA,Cadaveric,Other: NA,NA,NA,NA,NA,NA,NA,NA,Other: Yes,NA,1,,,Nail insertion location; Other: Principal strain,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1665,McConnell 2001,Tibial portal placement: the radiographic correlate of the anatomic safe zone,Consensus,2001,,United States,,Other: NA,,IPN,Cadaveric,Other: NA,NA,NA,No,NA,NA,,NA,Other: No,NA,20,,,Nail insertion location,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
1663,Lovell 1998,"Insertion site for intramedullary tibial nails, and its relationship to anterior knee pain",Consensus,1998,,UK,,IV,,IPN,Retrospective cohort study,IPN medial parapatellar,IPN transpatellar,NA,No,No,Yes,Yes,No,No,No,38,,,Binary yes/no; Other: Patella-tendon shortening,,,,,,,,22,,,16,,,,,,,,,,,,,,6,,,,,
1662,Lembcke 2001,The nail-insertion point in unreamed tibial nailing and its influence on the axial malalignment in proximal tibial fractures,Consensus,2001,,Other: Germany,,Other: NA,,IPN,Cadaveric,IPN medial parapatellar,IPN lateral parapatellar,NA,No,NA,NA,No,NA,Other: No,NA,22,,,Nail insertion location; Alignment; Other: Shortening,,,,,,,,11,,,11,,,,,,,,,,,,,,,,,,,
1661,Lefaivre 2008,Long-term follow-up of tibial shaft fractures treated with intramedullary nailing,Consensus,2008,kellylefaivre@hotmail.com,Other: Canada,,III,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,No,No,No,56,,,"SF-36; Alignment; ROM; Other: Short Musculoskeletal Functional Assessment, NRS - kneeling (1 - 10), NRS - squatting (1 - 10), NRS - stair descent (1 - 10), NRS - stair ascent (1 - 10), NRS - long-term sitting (1 - 10), NRS - walking (1 - 10), NRS - running (1 - 10), NRS - rest (1 - 10), Binary - swelling after activity, Binary - swelling after prolonged standing, Venous status, Lower extremity neurological status, Nail prominence, Kellgren-Lawrence, Union, Ligamentous examination, Meniscal pathology testing, Signs of edema",,,,,,,,56,,,,,,,,,,,,,,,,,168,,,,,
1660,Larsen 2014,Restrictions in Quality of Life After Intramedullary Nailing of Tibial Shaft Fracture: A Retrospective Follow-up Study of 223 Cases,Consensus,2014,peter.larsen@rn.dk,Other: Denmark,,III,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,No,Yes,No,223,,,"KOOS; Other: Complications, Reoperation, Compartment syndrome",,,,,,,,223,,,,,,,,,,,,,,,,,94.8,,,,,
1659,LaPrade 2015,Intramedullary Tibial Nailing Reduces the Attachment Area and Ultimate Load of the Anterior Medial Meniscal Root: A Potential Explanation for Anterior Knee Pain in Female Patients and Smaller Patients,Consensus,2015,,United States,,Other: NA,,Other: NA,Cadaveric,Other: NA,NA,NA,No,NA,NA,Yes,NA,Other: No,NA,12,,,"Other: Menisci damage, Menisci ultimate failure load",,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
1658,Lang 1995,Proximal third tibial shaft fractures. Should they be nailed?,Consensus,1995,,United States,,III,,IPN,Retrospective cohort study,IPN medial parapatellar,IPN lateral parapatellar,IPN transpatellar,Yes,No,Yes,Yes,No,Yes,Yes,32,,,"Alignment; Other: Union, Exchange nailing, Shortening",,,,,,,,30,,,1,,,1,,,,,,,,,,,25,,,,,
1657,Laflamme 2003,Proximal Tibial Fracture Stability With Intramedullary Nail Fixation Using Oblique Interlocking Screws,Consensus,2003,,Other: Canada,,Other: NA,,Other: NA,Cadaveric,No description,NA,NA,Yes,NA,NA,Yes,NA,Other: No,NA,20,,,Other: Biomechanical construct stability,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
1656,Labronici 2011,Recommendations for avoiding knee pain after intramedullary nailing of tibial shaft fractures,Consensus,2011,robinsonesteves@ig.com.br,Other: Brazil,,IV,,NR,Retrospective cohort study,No description,NA,NA,Yes,No,No,Yes,No,Yes,No,30,,,Binary yes/no; Nail insertion location; Other: Nail prominence,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
1654,Kruppa 2015,Outcomes After Intramedullary Nailing of Distal Tibial Fractures,Consensus,2015,,United States,,IV,,IPN,Retrospective cohort study,IPN transpatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,105,,,"Binary yes/no; Alignment; ROM; Other: Union, Implant-associated complaints, Complications, Infection, Shortening, Return to work",,,,,,,,105,,,,,,,,,,,,,,,,,0.5,1.5,4.5,"6, 12",,
1653,Krettek 1999,The use of Poller screws as blocking screws in stabilising tibial fractures treated with small diameter intramedullary nails,Consensus,1999,,Other: Germany,,III,,NR,Prospective cohort study,No description,NA,NA,Yes,Yes,Yes,No,Yes,No,No,21,,,"Surgery time; Alignment; Other: Union, Complications, Karström-Olerud score, Hardware failure",,,,,,21,,,,,,,,,,,,,,,,,,,18.5,,,,,
1652,Krettek 1998,Experimental study of distal interlocking of a solid tibial nail: radiation-independent distal aiming device (DAD) versus freehand technique (FHT),Consensus,1998,,United States,,Other: NA,,Other: NA,Cadaveric,Other: NA,NA,NA,Yes,NA,NA,Yes,NA,Other: No,NA,20,,,"Surgery time; Radiation dose; Other: Distal locking time, Screw wear, Hardware failure",,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
1651,Koval 1991,Complications of Reamed Intramedullary Nailing of the Tibia,Consensus,1991,,United States,,III,,IPN,Retrospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,60,,,"Alignment; ROM; Other: Union, Complications",,,,,,,,42,,,18,,,,,,,,,,,,,,25,,,,,
1650,Kneifel 1996,A comparison of one versus two distal locking screws in tibial fractures treated with unreamed tibial nails: a prospective randomized clinical trial,Consensus,1996,,Other: Canada,,I,,IPN,Randomised controlled trial,IPN medial parapatellar,NA,NA,Yes,No,Yes,Yes,Yes,No,No,42,,,"Other: Complications, Union",,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,
1649,Khan 2013,Outcome of Intramedullary Interlocking SIGN Nail in Tibial Diaphyseal Fracture,Consensus,2013,drirfan.ortho@gmail.com,Other: Pakistan,,IV,,NR,Case series,No description,NA,NA,No,No,Yes,No,No,No,No,50,,,"Other: Union, Hardware failure, Sikorski & Barrington scale, Hammer classification",,,,,,,,50,,,,,,,,,,,,,,,,,0.5,1,2,"3, 6, 9",,
1648,Keating 1997,Knee pain after tibial nailing,Consensus,1997,,Other: Canada,,III,,IPN,Retrospective cohort study,IPN medial parapatellar,IPN transpatellar,No description,Yes,No,Yes,Yes,Yes,Yes,Yes,110,,,"Binary yes/no; Nail insertion location; Alignment; Other: Knee pain time of onset, Complications, Union, Shortening, Rotational deformity, Nail prominence, Binary - activity, Pain exacerbated by kneeling, Infection, Compartment syndrome, Bone grafting, Revision nailing, Return to sport/exercise, Pain influence on leisure activity",,,,,,,,65,,,36,,,9,,,,,,,,,,,32,,,,,
1647,Karachalios 2000,The clinical performance of a small diameter tibial nailing system with a mechanical distal aiming device,Consensus,2000,,Other: Greece,,II,,IPN,Prospective cohort study,IPN transpatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,60,,,"Binary yes/no; Surgery time; Radiation dose; Nail insertion location; Alignment; ROM; Other: Union, Infection, Return to work, Hardware failure, Shortening, Rotational deformity",,,,,,,,60,,,,,,,,,,,,,,,,,5,,,,,
1646,Kahn 2002,Malrotation after locked intramedullary tibial nailing: three case reports and review of the literature,Consensus,2002,bealsr@ohsu.edu,United States,,V,,NR,Case report,No description,NA,NA,Yes,No,Yes,Yes,No,Yes,Yes,3,,,"Other: Rotational deformity, Shortening",,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
1644,Hernigou 2000,Proximal entry for intramedullary nailing of the tibia : The risk of unrecognised articular damage,Consensus,2000,,Other: France,,Other: NA,,IPN,Cadaveric,Other: NA,NA,NA,NA,NA,NA,No,NA,Other: No,NA,54,,,"Nail insertion location; Other: Menisci damage, Articular surface damage, Intermeniscal ligament damage",,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,
1643,Hamza 1971,Fractures of the tibia. A report on fifty patients treated by intramedullary nailing,Consensus,1971,,UK,,IV,,IPN,Retrospective cohort study,IPN transpatellar,NA,NA,No,Yes,Yes,Yes,Yes,No,No,50,,,"Other: Union, Return to work, Authors' assessment, Complications",,,,,,,,50,,,,,,,,,,,,,,,,,6,42,,,,
